Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,3.63095436314569,4.02810214835549,4.28893801297526,4.37235475998294,4.2297678342528,3.95176219129098,3.64941022142383,3.46340748347353,3.35038297624495,..
Bangladesh,BGD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,90.8034,89.7042,88.605,87.4764,86.3478,85.2192,84.0906,82.962,82.3128,..
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,17.0011812592919,16.8099867573503,16.1775631728154,15.4932779979784,15.3516208986344,14.7829964369364,14.0455462197579,13.4134659962126,13.0743171021391,..
Bangladesh,BGD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,34.1619047619048,..,..,..,..,..,..,..
Bangladesh,BGD,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,26.5,31.7,..,43.5,42.1,..,49.8,..,..,..
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.406145623292441,0.424812929970862,0.44703518540601,0.456320609091594,0.473657610012808,..,..,..,..,..
Bangladesh,BGD,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,61.2,..,61.8,62.3,..,..,..,..,..
Bangladesh,BGD,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,57.3945439888998,61.2715389601201,59.9368820310169,57.9223520150046,60.0209098275594,60.1638551412674,61.4430019576263,63.6693097613582,64.0615001435472,..
Bangladesh,BGD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,247.263382529192,265.639421278666,283.46216563492,301.961168038611,320.204158205446,..,..,..,..,..
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,206.761159361013,212.057371523082,219.9696403776,222.056661842427,229.246412864672,..,..,..,..,..
Bangladesh,BGD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.0241126856916,19.9220749554939,20.1615888634893,19.5378741103687,18.9896599950107,17.3366737865485,16.6497149603036,15.0361076278794,14.800958178109,..
Bangladesh,BGD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,26880728269.2,27276716589.7,28558969427.5,31840837468.2,33007846624.5,36309037511.9,38823339911.9,47158386506.8,52124147979.8,..
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.324,2.273,2.228,2.188,2.152,2.12,2.09,2.062,2.036,..
